1 0 FT924-655 1  22.968359 STANDARD
13 0 FT921-11466 1  15.947783 STANDARD
13 0 FT932-4656 1  15.943087 STANDARD
13 0 FT941-5205 1  15.937127 STANDARD
13 0 FT944-868 1  15.935844 STANDARD
13 0 FT944-4567 1  15.931759 STANDARD
13 0 FT924-4604 1  15.926443 STANDARD
13 0 FT942-3957 1  15.926412 STANDARD
13 0 FT934-9644 1  15.925625 STANDARD
13 0 FT933-2959 1  15.921176 STANDARD
13 0 FT922-13261 1  15.915998 STANDARD
13 0 FT942-14649 1  15.913661 STANDARD
13 0 FT931-4271 1  15.91234 STANDARD
13 0 FT923-13037 1  15.903276 STANDARD
13 0 FT934-11542 1  15.903181 STANDARD
13 0 FT942-4684 1  15.902574 STANDARD
13 0 FT941-3323 1  15.900963 STANDARD
13 0 FT931-14086 1  15.900819 STANDARD
13 0 FT924-9658 1  15.893334 STANDARD
13 0 FT921-15540 1  15.88459 STANDARD
13 0 FT944-12807 1  15.879964 STANDARD
13 0 FT921-15788 1  15.879418 STANDARD
13 0 FT931-10555 1  15.879068 STANDARD
13 0 FT944-10411 1  15.874883 STANDARD
13 0 FT921-14034 1  15.8743305 STANDARD
13 0 FT933-4422 1  15.874109 STANDARD
13 0 FT924-2793 1  15.872893 STANDARD
13 0 FT941-249 1  15.8667965 STANDARD
13 0 FT941-17397 1  15.866265 STANDARD
13 0 FT933-7863 1  15.865457 STANDARD
13 0 FT921-11387 1  15.864823 STANDARD
13 0 FT941-15348 1  15.857988 STANDARD
13 0 FT923-3219 1  15.857325 STANDARD
13 0 FT944-242 1  15.846134 STANDARD
13 0 FT934-8244 1  15.845695 STANDARD
13 0 FT933-5669 1  15.839544 STANDARD
13 0 FT921-15081 1  15.836965 STANDARD
13 0 FT934-9199 1  15.827402 STANDARD
13 0 FT942-1258 1  15.824831 STANDARD
13 0 FT923-5236 1  15.8221 STANDARD
13 0 FT943-1602 1  15.821075 STANDARD
13 0 FT923-2296 1  15.817074 STANDARD
13 0 FT922-12362 1  15.816435 STANDARD
13 0 FT924-9410 1  15.815635 STANDARD
13 0 FT921-4874 1  15.815487 STANDARD
13 0 FT911-3437 1  15.814905 STANDARD
13 0 FT943-11486 1  15.809896 STANDARD
13 0 FT933-4210 1  15.805702 STANDARD
13 0 FT922-7528 1  15.801514 STANDARD
13 0 FT932-2339 1  15.799179 STANDARD
13 0 FT911-3916 1  15.794802 STANDARD
13 0 FT942-16641 1  15.788182 STANDARD
13 0 FT922-5193 1  15.781186 STANDARD
13 0 FT933-12940 1  15.776307 STANDARD
13 0 FT944-18256 1  15.7732935 STANDARD
13 0 FT941-10431 1  15.771091 STANDARD
13 0 FT931-345 1  15.767257 STANDARD
13 0 FT942-8279 1  15.76702 STANDARD
13 0 FT923-880 1  15.766153 STANDARD
13 0 FT943-7215 1  15.765638 STANDARD
13 0 FT943-51 1  15.763343 STANDARD
13 0 FT933-15666 1  15.763174 STANDARD
13 0 FT924-10045 1  15.761619 STANDARD
13 0 FT924-13181 1  15.760285 STANDARD
13 0 FT933-12360 1  15.757529 STANDARD
13 0 FT943-1778 1  15.756403 STANDARD
13 0 FT933-6005 1  15.755202 STANDARD
13 0 FT921-12233 1  15.752118 STANDARD
13 0 FT944-11666 1  15.74941 STANDARD
13 0 FT943-2847 1  15.745855 STANDARD
13 0 FT931-15415 1  15.744741 STANDARD
13 0 FT923-15145 1  15.744534 STANDARD
13 0 FT933-13511 1  15.738512 STANDARD
13 0 FT911-469 1  15.733059 STANDARD
13 0 FT931-3533 1  15.731066 STANDARD
13 0 FT944-3204 1  15.730291 STANDARD
13 0 FT942-10710 1  15.72905 STANDARD
13 0 FT931-10014 1  15.724694 STANDARD
13 0 FT944-13997 1  15.720663 STANDARD
13 0 FT922-11709 1  15.719245 STANDARD
13 0 FT942-14753 1  15.715888 STANDARD
13 0 FT933-11551 1  15.715434 STANDARD
13 0 FT943-16374 1  15.712652 STANDARD
13 0 FT932-12117 1  15.708146 STANDARD
13 0 FT933-10072 1  15.707956 STANDARD
13 0 FT934-2892 1  15.704431 STANDARD
13 0 FT921-15337 1  15.703878 STANDARD
13 0 FT921-15506 1  15.703357 STANDARD
13 0 FT932-5566 1  15.701997 STANDARD
13 0 FT933-9672 1  15.692411 STANDARD
13 0 FT931-10999 1  15.692276 STANDARD
13 0 FT942-571 1  15.691654 STANDARD
13 0 FT943-1226 1  15.691149 STANDARD
13 0 FT943-2512 1  15.686576 STANDARD
13 0 FT942-17026 1  15.683787 STANDARD
13 0 FT921-888 1  15.682471 STANDARD
13 0 FT923-6854 1  15.680985 STANDARD
13 0 FT942-12610 1  15.673745 STANDARD
13 0 FT921-4520 1  15.673596 STANDARD
13 0 FT922-3391 1  15.6645 STANDARD
13 0 FT922-8641 1  15.661307 STANDARD
13 0 FT922-12689 1  15.658569 STANDARD
13 0 FT932-9308 1  15.656821 STANDARD
13 0 FT934-8541 1  15.65496 STANDARD
13 0 FT931-8774 1  15.654158 STANDARD
13 0 FT931-8871 1  15.654158 STANDARD
13 0 FT933-6181 1  15.647206 STANDARD
13 0 FT931-10994 1  15.64638 STANDARD
13 0 FT931-4265 1  15.644623 STANDARD
13 0 FT932-4352 1  15.643123 STANDARD
13 0 FT933-5473 1  15.642045 STANDARD
13 0 FT941-15539 1  15.638577 STANDARD
13 0 FT941-8984 1  15.637804 STANDARD
13 0 FT931-1666 1  15.636324 STANDARD
13 0 FT932-3062 1  15.635773 STANDARD
13 0 FT923-8457 1  15.633626 STANDARD
13 0 FT943-8975 1  15.633431 STANDARD
13 0 FT924-15522 1  15.632725 STANDARD
13 0 FT941-5980 1  15.6243515 STANDARD
13 0 FT922-3527 1  15.623286 STANDARD
13 0 FT932-4481 1  15.622289 STANDARD
13 0 FT943-1187 1  15.620171 STANDARD
13 0 FT944-12447 1  15.617278 STANDARD
13 0 FT933-15631 1  15.612722 STANDARD
13 0 FT942-859 1  15.611653 STANDARD
13 0 FT922-2285 1  15.601784 STANDARD
13 0 FT944-3200 1  15.599631 STANDARD
13 0 FT934-3776 1  15.597642 STANDARD
13 0 FT923-875 1  15.595579 STANDARD
13 0 FT934-8386 1  15.5930605 STANDARD
13 0 FT923-15658 1  15.588943 STANDARD
13 0 FT933-11055 1  15.584039 STANDARD
13 0 FT934-10226 1  15.584001 STANDARD
13 0 FT941-6675 1  15.583822 STANDARD
13 0 FT932-6605 1  15.583028 STANDARD
13 0 FT923-8842 1  15.580702 STANDARD
13 0 FT941-13494 1  15.577691 STANDARD
13 0 FT941-17339 1  15.576041 STANDARD
13 0 FT934-7689 1  15.575681 STANDARD
13 0 FT922-4080 1  15.572023 STANDARD
13 0 FT943-4302 1  15.568928 STANDARD
13 0 FT921-5733 1  15.566054 STANDARD
13 0 FT932-15917 1  15.564943 STANDARD
13 0 FT932-15955 1  15.56311 STANDARD
13 0 FT932-5177 1  15.561376 STANDARD
13 0 FT934-9908 1  15.558353 STANDARD
13 0 FT924-6248 1  15.5534315 STANDARD
13 0 FT923-4157 1  15.540994 STANDARD
13 0 FT934-12150 1  15.53287 STANDARD
13 0 FT944-6752 1  15.532152 STANDARD
13 0 FT943-10438 1  15.526038 STANDARD
13 0 FT933-6686 1  15.52215 STANDARD
13 0 FT922-15316 1  15.521139 STANDARD
13 0 FT944-11842 1  15.52083 STANDARD
13 0 FT941-4509 1  15.520404 STANDARD
13 0 FT921-14751 1  15.520363 STANDARD
13 0 FT921-14935 1  15.520363 STANDARD
13 0 FT934-814 1  15.516573 STANDARD
13 0 FT944-15029 1  15.510994 STANDARD
13 0 FT941-6759 1  15.506347 STANDARD
13 0 FT941-5411 1  15.505858 STANDARD
13 0 FT924-8570 1  15.504884 STANDARD
13 0 FT922-3893 1  15.504598 STANDARD
13 0 FT944-15148 1  15.503337 STANDARD
13 0 FT924-12833 1  15.49985 STANDARD
13 0 FT911-2671 1  15.496235 STANDARD
13 0 FT932-7115 1  15.494088 STANDARD
13 0 FT934-14820 1  15.489968 STANDARD
13 0 FT921-14876 1  15.486991 STANDARD
13 0 FT922-10893 1  15.485387 STANDARD
13 0 FT934-13670 1  15.484896 STANDARD
13 0 FT934-1360 1  15.481285 STANDARD
13 0 FT943-9327 1  15.479873 STANDARD
13 0 FT943-11243 1  15.479171 STANDARD
13 0 FT941-1228 1  15.478018 STANDARD
13 0 FT944-18251 1  15.476498 STANDARD
13 0 FT922-8376 1  15.474846 STANDARD
13 0 FT942-14231 1  15.474293 STANDARD
13 0 FT934-9387 1  15.472567 STANDARD
13 0 FT943-7096 1  15.471121 STANDARD
13 0 FT911-3856 1  15.469383 STANDARD
13 0 FT932-429 1  15.46845 STANDARD
13 0 FT944-14310 1  15.467044 STANDARD
13 0 FT941-7986 1  15.466444 STANDARD
13 0 FT933-11266 1  15.461117 STANDARD
13 0 FT924-8554 1  15.460316 STANDARD
13 0 FT934-4518 1  15.459895 STANDARD
13 0 FT922-1070 1  15.458239 STANDARD
13 0 FT944-17978 1  15.45335 STANDARD
13 0 FT933-78 1  15.453251 STANDARD
13 0 FT922-1624 1  15.444003 STANDARD
13 0 FT922-759 1  15.432013 STANDARD
13 0 FT941-15568 1  15.430035 STANDARD
13 0 FT921-1479 1  15.429791 STANDARD
13 0 FT923-14595 1  15.429158 STANDARD
13 0 FT922-10730 1  15.428531 STANDARD
13 0 FT932-9608 1  15.426851 STANDARD
13 0 FT944-325 1  15.426571 STANDARD
13 0 FT922-4740 1  15.426272 STANDARD
13 0 FT923-11136 1  15.424414 STANDARD
13 0 FT941-16758 1  15.422571 STANDARD
13 0 FT933-582 1  15.419297 STANDARD
13 0 FT933-339 1  15.4175625 STANDARD
13 0 FT944-6955 1  15.417511 STANDARD
13 0 FT911-3417 1  15.415378 STANDARD
13 0 FT923-7491 1  15.414097 STANDARD
13 0 FT932-8406 1  15.4083185 STANDARD
13 0 FT922-10744 1  15.408228 STANDARD
13 0 FT931-16775 1  15.40551 STANDARD
13 0 FT941-198 1  15.403734 STANDARD
13 0 FT923-13014 1  15.396716 STANDARD
13 0 FT921-6243 1  15.395747 STANDARD
13 0 FT942-15735 1  15.395166 STANDARD
13 0 FT941-6634 1  15.393722 STANDARD
13 0 FT944-5026 1  15.393246 STANDARD
13 0 FT933-2075 1  15.38987 STANDARD
13 0 FT943-16432 1  15.389743 STANDARD
13 0 FT911-133 1  15.388646 STANDARD
13 0 FT922-4770 1  15.388262 STANDARD
13 0 FT944-18723 1  15.383863 STANDARD
13 0 FT933-15612 1  15.381709 STANDARD
13 0 FT943-5610 1  15.381453 STANDARD
13 0 FT924-8132 1  15.378381 STANDARD
13 0 FT932-15093 1  15.373075 STANDARD
13 0 FT933-2052 1  15.372487 STANDARD
13 0 FT941-17523 1  15.370603 STANDARD
13 0 FT933-10967 1  15.368539 STANDARD
13 0 FT941-10895 1  15.366109 STANDARD
13 0 FT933-13605 1  15.365791 STANDARD
13 0 FT941-13502 1  15.3590355 STANDARD
13 0 FT921-13639 1  15.354896 STANDARD
13 0 FT921-8959 1  15.351077 STANDARD
13 0 FT922-10664 1  15.350373 STANDARD
13 0 FT931-12135 1  15.349486 STANDARD
13 0 FT924-9561 1  15.346446 STANDARD
13 0 FT932-17068 1  15.346254 STANDARD
13 0 FT944-13412 1  15.3443365 STANDARD
13 0 FT922-734 1  15.34419 STANDARD
13 0 FT931-9363 1  15.3393135 STANDARD
13 0 FT944-5041 1  15.339239 STANDARD
13 0 FT911-2061 1  15.337147 STANDARD
13 0 FT924-963 1  15.327239 STANDARD
13 0 FT923-10184 1  15.327183 STANDARD
13 0 FT931-2588 1  15.32702 STANDARD
13 0 FT932-537 1  15.321306 STANDARD
13 0 FT941-13207 1  15.318356 STANDARD
13 0 FT922-2395 1  15.318244 STANDARD
13 0 FT942-10235 1  15.311811 STANDARD
13 0 FT921-10708 1  15.308284 STANDARD
13 0 FT924-15293 1  15.307455 STANDARD
13 0 FT923-896 1  15.306374 STANDARD
13 0 FT924-9545 1  15.306004 STANDARD
13 0 FT932-7004 1  15.303645 STANDARD
13 0 FT943-1888 1  15.292503 STANDARD
13 0 FT944-4345 1  15.291012 STANDARD
13 0 FT944-5396 1  15.289829 STANDARD
13 0 FT934-4142 1  15.289608 STANDARD
13 0 FT941-12988 1  15.285629 STANDARD
13 0 FT931-11637 1  15.285255 STANDARD
13 0 FT943-2970 1  15.28413 STANDARD
13 0 FT921-8450 1  15.283299 STANDARD
13 0 FT944-18236 1  15.282004 STANDARD
13 0 FT942-10782 1  15.281238 STANDARD
13 0 FT924-10402 1  15.280948 STANDARD
13 0 FT941-7584 1  15.279949 STANDARD
13 0 FT942-7121 1  15.278525 STANDARD
13 0 FT934-165 1  15.277212 STANDARD
13 0 FT942-11401 1  15.2747345 STANDARD
13 0 FT934-15537 1  15.270403 STANDARD
13 0 FT932-7112 1  15.269196 STANDARD
13 0 FT921-15892 1  15.264696 STANDARD
13 0 FT943-69 1  15.264335 STANDARD
13 0 FT943-3575 1  15.262462 STANDARD
13 0 FT943-13780 1  15.259827 STANDARD
13 0 FT943-13784 1  15.259827 STANDARD
13 0 FT932-1724 1  15.25926 STANDARD
13 0 FT941-12004 1  15.256828 STANDARD
13 0 FT931-17047 1  15.255786 STANDARD
13 0 FT931-15696 1  15.250375 STANDARD
13 0 FT911-932 1  15.244485 STANDARD
13 0 FT923-6366 1  15.243723 STANDARD
13 0 FT922-2030 1  15.236028 STANDARD
13 0 FT944-11178 1  15.234838 STANDARD
13 0 FT921-11463 1  15.233916 STANDARD
13 0 FT922-5242 1  15.23263 STANDARD
13 0 FT934-10801 1  15.230231 STANDARD
13 0 FT932-13997 1  15.229222 STANDARD
13 0 FT924-6114 1  15.225683 STANDARD
13 0 FT934-6740 1  15.225645 STANDARD
13 0 FT931-13519 1  15.223753 STANDARD
13 0 FT931-13623 1  15.223753 STANDARD
13 0 FT934-4377 1  15.223195 STANDARD
13 0 FT941-1959 1  15.222956 STANDARD
13 0 FT943-9052 1  15.222818 STANDARD
13 0 FT942-14743 1  15.2213 STANDARD
13 0 FT922-13694 1  15.219619 STANDARD
13 0 FT941-8283 1  15.217006 STANDARD
13 0 FT933-2947 1  15.214962 STANDARD
13 0 FT931-12261 1  15.212801 STANDARD
13 0 FT923-10530 1  15.212182 STANDARD
13 0 FT932-6844 1  15.21187 STANDARD
13 0 FT923-2309 1  15.21041 STANDARD
13 0 FT933-9175 1  15.207769 STANDARD
13 0 FT942-6328 1  15.192848 STANDARD
13 0 FT941-7347 1  15.191843 STANDARD
13 0 FT941-585 1  15.188188 STANDARD
13 0 FT934-1801 1  15.187482 STANDARD
13 0 FT944-3783 1  15.184858 STANDARD
13 0 FT932-11395 1  15.18294 STANDARD
13 0 FT943-6543 1  15.182827 STANDARD
13 0 FT944-5547 1  15.181946 STANDARD
13 0 FT933-14710 1  15.179065 STANDARD
13 0 FT944-4474 1  15.174692 STANDARD
13 0 FT933-13059 1  15.167662 STANDARD
13 0 FT932-1879 1  15.16727 STANDARD
13 0 FT943-10578 1  15.163804 STANDARD
13 0 FT943-12537 1  15.163316 STANDARD
13 0 FT934-811 1  15.159806 STANDARD
13 0 FT911-468 1  15.1594305 STANDARD
13 0 FT922-2055 1  15.158909 STANDARD
13 0 FT944-9963 1  15.157002 STANDARD
13 0 FT922-4765 1  15.155062 STANDARD
13 0 FT934-16754 1  15.154422 STANDARD
13 0 FT934-9127 1  15.150917 STANDARD
13 0 FT932-9834 1  15.146881 STANDARD
13 0 FT921-1819 1  15.145897 STANDARD
13 0 FT942-9114 1  15.141023 STANDARD
13 0 FT941-14974 1  15.140526 STANDARD
13 0 FT943-3009 1  15.140293 STANDARD
13 0 FT931-2162 1  15.1369705 STANDARD
13 0 FT942-5242 1  15.136815 STANDARD
13 0 FT942-12 1  15.131681 STANDARD
13 0 FT932-13547 1  15.130292 STANDARD
13 0 FT931-5761 1  15.12753 STANDARD
13 0 FT931-5930 1  15.12753 STANDARD
13 0 FT931-1900 1  15.1271925 STANDARD
13 0 FT934-16629 1  15.122652 STANDARD
13 0 FT941-16218 1  15.121805 STANDARD
13 0 FT924-12044 1  15.118076 STANDARD
13 0 FT932-558 1  15.117375 STANDARD
13 0 FT944-9098 1  15.114468 STANDARD
13 0 FT921-12172 1  15.107328 STANDARD
13 0 FT941-4805 1  15.105001 STANDARD
13 0 FT922-6574 1  15.104614 STANDARD
13 0 FT922-4416 1  15.10399 STANDARD
13 0 FT923-338 1  15.100431 STANDARD
13 0 FT933-284 1  15.099475 STANDARD
13 0 FT923-5714 1  15.099039 STANDARD
13 0 FT944-17051 1  15.098937 STANDARD
13 0 FT924-2563 1  15.096492 STANDARD
13 0 FT922-11864 1  15.095673 STANDARD
13 0 FT941-1998 1  15.094271 STANDARD
13 0 FT942-16893 1  15.092273 STANDARD
13 0 FT931-9691 1  15.090821 STANDARD
13 0 FT924-8148 1  15.088698 STANDARD
13 0 FT931-8064 1  15.087916 STANDARD
13 0 FT944-16099 1  15.087753 STANDARD
13 0 FT922-1605 1  15.087643 STANDARD
13 0 FT923-5400 1  15.085399 STANDARD
13 0 FT922-2755 1  15.083048 STANDARD
13 0 FT934-7860 1  15.082562 STANDARD
13 0 FT923-8983 1  15.082104 STANDARD
13 0 FT942-14924 1  15.079639 STANDARD
13 0 FT921-7691 1  15.070919 STANDARD
13 0 FT911-433 1  15.069887 STANDARD
13 0 FT944-18649 1  15.069805 STANDARD
13 0 FT931-8304 1  15.067899 STANDARD
13 0 FT944-5551 1  15.06591 STANDARD
13 0 FT921-9559 1  15.062544 STANDARD
13 0 FT942-16985 1  15.055786 STANDARD
13 0 FT921-2907 1  15.054598 STANDARD
13 0 FT941-12805 1  15.05335 STANDARD
13 0 FT923-6542 1  15.051409 STANDARD
13 0 FT924-10843 1  15.046639 STANDARD
13 0 FT924-7110 1  15.045655 STANDARD
13 0 FT922-7199 1  15.044336 STANDARD
13 0 FT933-12061 1  15.041866 STANDARD
13 0 FT933-12324 1  15.041074 STANDARD
13 0 FT941-4009 1  15.040037 STANDARD
13 0 FT944-3195 1  15.039779 STANDARD
13 0 FT923-8208 1  15.036368 STANDARD
13 0 FT924-8144 1  15.035919 STANDARD
13 0 FT921-14794 1  15.035837 STANDARD
13 0 FT931-5686 1  15.035002 STANDARD
13 0 FT924-4481 1  15.0271 STANDARD
13 0 FT921-9475 1  15.026311 STANDARD
13 0 FT922-9153 1  15.025745 STANDARD
13 0 FT941-17369 1  15.025206 STANDARD
13 0 FT921-16230 1  15.022263 STANDARD
13 0 FT921-10656 1  15.02084 STANDARD
13 0 FT941-15555 1  15.018893 STANDARD
13 0 FT931-8500 1  15.014483 STANDARD
13 0 FT931-4533 1  15.0136175 STANDARD
13 0 FT944-5287 1  15.013032 STANDARD
14 0 FT944-12369 1  33.82434 STANDARD
14 0 FT921-9644 1  33.495335 STANDARD
14 0 FT943-1006 1  33.028927 STANDARD
14 0 FT921-8261 1  31.890633 STANDARD
14 0 FT923-3729 1  31.415554 STANDARD
14 0 FT934-5978 1  29.820759 STANDARD
14 0 FT921-13094 1  29.783339 STANDARD
14 0 FT923-1106 1  29.704517 STANDARD
14 0 FT933-15393 1  29.696848 STANDARD
14 0 FT943-3008 1  29.205814 STANDARD
14 0 FT944-12680 1  29.163836 STANDARD
14 0 FT924-5210 1  28.487398 STANDARD
14 0 FT942-16668 1  28.125088 STANDARD
14 0 FT921-3603 1  28.02375 STANDARD
14 0 FT932-4130 1  27.986004 STANDARD
14 0 FT922-12873 1  27.850897 STANDARD
14 0 FT921-6637 1  27.43041 STANDARD
14 0 FT922-12623 1  27.426386 STANDARD
14 0 FT944-11926 1  27.274183 STANDARD
14 0 FT923-9446 1  27.185585 STANDARD
14 0 FT941-16799 1  27.006176 STANDARD
14 0 FT922-8462 1  26.97877 STANDARD
14 0 FT932-6585 1  26.71905 STANDARD
14 0 FT941-9908 1  26.61924 STANDARD
14 0 FT921-8126 1  26.427177 STANDARD
14 0 FT923-10781 1  26.31283 STANDARD
14 0 FT941-9064 1  26.274092 STANDARD
14 0 FT932-13478 1  26.256483 STANDARD
14 0 FT934-11077 1  26.126144 STANDARD
14 0 FT934-2259 1  26.011192 STANDARD
14 0 FT944-3172 1  25.349106 STANDARD
14 0 FT931-3394 1  25.339428 STANDARD
14 0 FT942-9759 1  25.32609 STANDARD
14 0 FT932-15243 1  25.283432 STANDARD
14 0 FT911-4670 1  25.212805 STANDARD
14 0 FT931-8550 1  25.107372 STANDARD
14 0 FT933-10100 1  24.985973 STANDARD
14 0 FT934-4579 1  24.970758 STANDARD
14 0 FT911-1992 1  24.926144 STANDARD
14 0 FT933-9306 1  24.881248 STANDARD
14 0 FT921-14610 1  24.757462 STANDARD
14 0 FT941-16800 1  24.628126 STANDARD
14 0 FT932-7733 1  24.507833 STANDARD
14 0 FT921-2957 1  24.111156 STANDARD
14 0 FT942-1295 1  24.056316 STANDARD
14 0 FT942-3500 1  24.02679 STANDARD
14 0 FT923-3219 1  24.02275 STANDARD
14 0 FT911-827 1  23.754526 STANDARD
14 0 FT944-10333 1  23.699255 STANDARD
14 0 FT933-15451 1  23.691975 STANDARD
14 0 FT943-8373 1  23.637 STANDARD
14 0 FT932-7462 1  23.585304 STANDARD
14 0 FT933-11808 1  23.50414 STANDARD
14 0 FT923-11481 1  23.438097 STANDARD
14 0 FT931-8840 1  23.40442 STANDARD
14 0 FT921-7881 1  23.285328 STANDARD
14 0 FT933-1483 1  23.251213 STANDARD
14 0 FT943-341 1  23.232012 STANDARD
14 0 FT932-4135 1  23.226816 STANDARD
14 0 FT932-13315 1  23.148132 STANDARD
14 0 FT921-6639 1  23.035624 STANDARD
14 0 FT924-13269 1  23.00401 STANDARD
14 0 FT944-13116 1  22.9816 STANDARD
14 0 FT942-4601 1  22.924488 STANDARD
14 0 FT943-334 1  22.88044 STANDARD
14 0 FT921-12244 1  22.83374 STANDARD
14 0 FT923-1353 1  22.737186 STANDARD
14 0 FT923-6247 1  22.682253 STANDARD
14 0 FT941-6763 1  22.676119 STANDARD
14 0 FT921-15887 1  22.645096 STANDARD
14 0 FT934-9895 1  22.623148 STANDARD
14 0 FT933-9324 1  22.585365 STANDARD
14 0 FT944-10696 1  22.553988 STANDARD
14 0 FT923-10495 1  22.436008 STANDARD
14 0 FT922-6675 1  22.157688 STANDARD
14 0 FT924-14913 1  22.135391 STANDARD
14 0 FT944-1129 1  22.041368 STANDARD
14 0 FT942-327 1  22.006203 STANDARD
14 0 FT932-5226 1  21.953022 STANDARD
14 0 FT943-800 1  21.94822 STANDARD
14 0 FT934-6501 1  21.911654 STANDARD
14 0 FT922-8668 1  21.907 STANDARD
14 0 FT922-11073 1  21.881851 STANDARD
14 0 FT924-7087 1  21.849138 STANDARD
14 0 FT932-14052 1  21.819744 STANDARD
14 0 FT944-14837 1  21.804037 STANDARD
14 0 FT923-3218 1  21.800245 STANDARD
14 0 FT933-8729 1  21.793327 STANDARD
14 0 FT944-5430 1  21.645174 STANDARD
14 0 FT944-4091 1  21.622509 STANDARD
14 0 FT923-14362 1  21.482489 STANDARD
14 0 FT923-8088 1  21.375927 STANDARD
14 0 FT924-7334 1  21.37209 STANDARD
14 0 FT922-14386 1  21.295969 STANDARD
14 0 FT922-8180 1  21.27657 STANDARD
14 0 FT934-10732 1  21.272083 STANDARD
14 0 FT933-8084 1  21.20886 STANDARD
14 0 FT943-11487 1  21.18052 STANDARD
14 0 FT943-2583 1  21.179548 STANDARD
14 0 FT923-60 1  21.13579 STANDARD
14 0 FT922-9395 1  21.133001 STANDARD
14 0 FT924-9832 1  21.09636 STANDARD
14 0 FT923-243 1  21.016523 STANDARD
14 0 FT942-10659 1  21.006916 STANDARD
14 0 FT921-14387 1  20.998444 STANDARD
14 0 FT934-10558 1  20.945261 STANDARD
14 0 FT944-10166 1  20.900383 STANDARD
14 0 FT934-11080 1  20.890623 STANDARD
14 0 FT932-2679 1  20.86202 STANDARD
14 0 FT943-1728 1  20.857388 STANDARD
14 0 FT932-15835 1  20.846983 STANDARD
14 0 FT934-6739 1  20.785343 STANDARD
14 0 FT932-9723 1  20.77563 STANDARD
14 0 FT943-13446 1  20.770113 STANDARD
14 0 FT932-8926 1  20.732208 STANDARD
14 0 FT941-5067 1  20.723837 STANDARD
14 0 FT942-15790 1  20.667383 STANDARD
14 0 FT931-3994 1  20.538925 STANDARD
14 0 FT923-3216 1  20.479738 STANDARD
14 0 FT931-8150 1  20.36485 STANDARD
14 0 FT942-16670 1  20.362762 STANDARD
14 0 FT942-498 1  20.349289 STANDARD
14 0 FT924-9409 1  20.330101 STANDARD
14 0 FT941-13595 1  20.301514 STANDARD
14 0 FT933-6374 1  20.256033 STANDARD
14 0 FT934-615 1  20.253614 STANDARD
14 0 FT933-5541 1  20.206417 STANDARD
14 0 FT933-581 1  20.20603 STANDARD
14 0 FT924-13271 1  20.205616 STANDARD
14 0 FT942-5543 1  20.080875 STANDARD
14 0 FT943-827 1  20.048065 STANDARD
14 0 FT923-3221 1  20.026754 STANDARD
14 0 FT934-17231 1  20.000774 STANDARD
14 0 FT934-7776 1  19.930166 STANDARD
14 0 FT911-2505 1  19.916151 STANDARD
14 0 FT924-3110 1  19.885288 STANDARD
14 0 FT941-13330 1  19.876373 STANDARD
14 0 FT934-7384 1  19.876064 STANDARD
14 0 FT924-8268 1  19.846527 STANDARD
14 0 FT932-5774 1  19.825485 STANDARD
14 0 FT944-1289 1  19.802416 STANDARD
14 0 FT941-4051 1  19.771984 STANDARD
14 0 FT944-15178 1  19.719364 STANDARD
14 0 FT932-17135 1  19.592615 STANDARD
14 0 FT923-15713 1  19.551584 STANDARD
14 0 FT943-13231 1  19.534666 STANDARD
14 0 FT922-10715 1  19.523117 STANDARD
14 0 FT931-2856 1  19.5073 STANDARD
14 0 FT911-1721 1  19.451693 STANDARD
14 0 FT931-6311 1  19.418022 STANDARD
14 0 FT922-3680 1  19.38393 STANDARD
14 0 FT943-9880 1  19.351137 STANDARD
14 0 FT921-15613 1  19.347385 STANDARD
14 0 FT932-1226 1  19.345045 STANDARD
14 0 FT922-7827 1  19.314478 STANDARD
14 0 FT923-6191 1  19.292374 STANDARD
14 0 FT944-589 1  19.26476 STANDARD
14 0 FT944-2494 1  19.254541 STANDARD
14 0 FT944-2597 1  19.254541 STANDARD
14 0 FT924-3984 1  19.229631 STANDARD
14 0 FT942-8711 1  19.209564 STANDARD
14 0 FT923-14694 1  19.144281 STANDARD
14 0 FT924-5252 1  19.07275 STANDARD
14 0 FT923-4195 1  19.051409 STANDARD
14 0 FT924-9235 1  19.041391 STANDARD
14 0 FT933-15200 1  19.034027 STANDARD
14 0 FT933-6604 1  19.029476 STANDARD
14 0 FT931-15088 1  19.026077 STANDARD
14 0 FT924-8853 1  19.020912 STANDARD
14 0 FT921-1472 1  19.014412 STANDARD
14 0 FT924-1879 1  19.014278 STANDARD
14 0 FT922-14137 1  18.96777 STANDARD
14 0 FT941-6761 1  18.932741 STANDARD
14 0 FT921-1287 1  18.930355 STANDARD
14 0 FT932-3014 1  18.924461 STANDARD
14 0 FT922-14000 1  18.91248 STANDARD
14 0 FT931-9192 1  18.837336 STANDARD
14 0 FT924-7089 1  18.820284 STANDARD
14 0 FT932-4131 1  18.802635 STANDARD
14 0 FT933-2825 1  18.783028 STANDARD
14 0 FT923-9352 1  18.778181 STANDARD
14 0 FT932-14768 1  18.758467 STANDARD
14 0 FT941-15694 1  18.758436 STANDARD
14 0 FT924-8328 1  18.75813 STANDARD
14 0 FT924-2621 1  18.757277 STANDARD
14 0 FT941-1546 1  18.7216 STANDARD
14 0 FT932-7143 1  18.72033 STANDARD
14 0 FT924-3560 1  18.67616 STANDARD
14 0 FT924-3848 1  18.663532 STANDARD
14 0 FT933-16207 1  18.621702 STANDARD
